channel_id,channel_title,channel_published_at,country,channel_topicIds
UCSqlOW3cdLtgq7W68M0QSeQ,KPOPVIRALZ,2015-02-06T08:42:46.000Z,US,/m/04rlf|/m/028sqc|/m/02jjt|/m/04rlf|/m/028sqc|/m/02jjt
UCmQzed4960um4eb86t5-qzA,panpan kyu,2011-05-08T06:58:38.000Z,,/m/04rlf|/m/028sqc|/m/064t9|/m/04rlf|/m/028sqc|/m/064t9
UCgTg2cEotje4FgTZXTBOidw,Shine Paradise,2013-03-27T13:25:41.000Z,US,/m/04rlf|/m/02lkt|/m/064t9|/m/04rlf|/m/0bzvm2|/m/02lkt|/m/064t9|/m/06by7|/m/025zzc|/m/0403l3g|/m/0glt670
UC6Ht9v4_8UdQyOv1Hnmqw7w,YWN,2018-02-16T03:25:13.000Z,US,/m/02jjt|/m/04rlf|/m/02jjt|/m/04rlf|/m/0glt670
UCVfXvwmusfak5Df_6hELA7Q,MuchFlight,2014-02-02T06:42:24.000Z,US,/m/0bzvm2|/m/025zzc|/m/0bzvm2|/m/025zzc
UCPd-j4dfjQ5THQFdTeKUuQA,dogcatduck,2008-08-03T16:37:26.000Z,,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9|/m/02jjt
UCs-elZhE1Bc-RtqzZk3_p0w,Haley's Corner,2009-07-07T14:45:31.000Z,CA,/m/019_rr|/m/032tl|/m/019_rr|/m/032tl
UC5BCEh5AO_NjFIRV6dANg1Q,*Jennifer_[KOT]*,2018-08-09T16:12:15.000Z,,/m/02jjt|/m/02vxn|/m/04rlf|/m/02jjt|/m/02vxn|/m/04rlf
UCMiVScsAqQcoZlz1Le-uzMw,Sumi_• Bearくま,2018-10-09T10:30:48.000Z,PH,/m/04rlf|/m/04rlf|/m/02jjt|/m/02vxn
UCgTbK8xr3CgBDr_EJlgD-Lg,Foamy Channel,2018-04-16T11:45:42.000Z,,/m/04rlf|/m/04rlf|/m/02jjt|/m/0bzvm2|/m/02lkt
UCTV27gibr60_wCvK6rJrJfA,LEEAH,2012-05-28T00:42:04.000Z,TH,/m/04rlf|/m/028sqc|/m/04rlf|/m/028sqc|/m/064t9|/m/019_rr
UCVsqrSRHq0pGJpzcvKxIYZg,Kitty Pawz,2017-06-27T09:50:16.000Z,,/m/04rlf|/m/0bzvm2|/m/04rlf|/m/0bzvm2|/m/02jjt|/m/02vxn|/m/0403l3g
UC8zMzRGbjbgoHakoUWI6nxA,Fun Time,2017-02-17T18:09:08.000Z,GR,/m/02jjt|/m/09kqc|/m/04rlf|/m/02jjt|/m/09kqc|/m/04rlf
UC0t10wxaD0AHOTHlckv54bg,Bat Reacts,2016-07-06T00:15:17.000Z,US,/m/02jjt|/m/019_rr|/m/0bzvm2|/m/019_rr|/m/02jjt|/m/07c1v|/m/0bzvm2
UCuovfDOvQY_VxtyW9D43sdQ,Shermy雪爾米,2016-03-03T12:00:39.000Z,,/m/04rlf|/m/02jjt|/m/02vxn|/m/02jjt|/m/02vxn|/m/04rlf
UChP76CKznnxRE_1RmAD2p4A,Rlcemaster3,2010-04-04T12:02:18.000Z,,/m/04rlf|/m/04rlf|/m/02jjt
UCoNRSwYHJdy-yV1b82ZdHfQ,SethEverman,2013-05-21T15:49:01.000Z,SE,/m/04rlf|/m/04rlf|/m/0bzvm2|/m/064t9
UCuXCVkn7zutVSi7Eg9etEeQ,Fangelica Luv,2017-10-18T02:25:18.000Z,US,/m/04rlf|/m/04rlf|/m/064t9
UCacrG7qkY0tNtR5s4Fe_FXg,Chuther츄더[문에스더],2017-03-13T10:02:04.000Z,,/m/04rlf|/m/064t9|/m/04rlf|/m/064t9|/m/028sqc
UCynMaTmXfMnN8jwm9qhwGeQ,Hashim Husain,2012-04-20T13:49:40.000Z,,/m/04rlf|/m/04rlf|/m/064t9|/m/028sqc
UCiKyA1bBO2tJ0DiY7Txo4hg,Yisus Spagueño Music,2017-11-09T20:43:12.000Z,,/m/04rlf|/m/02lkt|/m/04rlf|/m/02lkt|/m/05rwpb
UCvtRTOMP2TqYqu51xNrqAzg,Brawadis,2015-04-03T08:07:58.000Z,US,/m/02jjt|/m/02jjt|/m/06ntj|/m/018w8|/m/04rlf
UCqTc9d_4OkQd0KPxHuWLPMQ,Ana Lopez,2007-04-08T23:56:51.000Z,,/m/04rlf|/m/02vxn|/m/02jjt|/m/04rlf|/m/02jjt|/m/02vxn|/m/0glt670|/m/06j6l|/m/0gywn
UC7Mpjf4ltqq02GyGgrVVXVQ,Marcel Entertainment,2018-06-25T19:56:16.000Z,,/m/04rlf|/m/028sqc|/m/04rlf|/m/028sqc|/m/064t9
UC2BnXdLpIyod0enbybWqaPQ,Brijesh Sarin,2013-05-23T14:39:22.000Z,IN,/m/04rlf|/m/04rlf|/m/028sqc
UCZbWmJlDb3XnM2_m8V6Yyuw,Ricardo Leite,2009-02-21T02:40:08.000Z,,/m/04rlf|/m/02jjt|/m/04rlf|/m/02jjt
UCL8dohWrrk6zTMPaUgv5FiQ,Jersson G,2015-03-15T06:55:55.000Z,US,/m/04rlf|/m/0bzvm2|/m/04rlf|/m/019_rr|/m/0bzvm2|/m/064t9|/m/06j6l|/m/0gywn
UC76ylFnNS-Tojn1I4PX1kIA,Anime America,2008-09-18T20:39:23.000Z,US,/m/02jjt|/m/02vxn|/m/02jjt|/m/02vxn|/m/0bzvm2|/m/019_rr
UCh03gZm_X-QhiYGU4JPTffg,efendi kece,2017-12-30T20:09:44.000Z,ID,/m/04rlf|/m/02lkt|/m/04rlf|/m/02lkt|/m/064t9
UCPOWhUhAfUryj1QLnHhw6zw,MattsFTR,2008-10-16T06:42:07.000Z,CA,/m/019_rr|/m/02jjt|/m/04rlf|/m/019_rr|/m/02jjt|/m/04rlf|/m/098wr
UCeELypbJ5Hlnec6qlDwTQmA,awesome productions,2018-08-13T14:14:11.000Z,,/m/02jjt|/m/04rlf|/m/02jjt|/m/02vxn|/m/04rlf|/m/09kqc
UC0JzNjiz-XG42syPF_o_GyQ,iPauta,2010-03-12T02:36:40.000Z,PR,/m/04rlf|/m/0g293|/m/04rlf|/m/0g293|/m/02jjt
UCPYqlJYFOU5PjxwJj-VvSGw,John Wallison,2012-10-16T12:55:07.000Z,BR,/m/04rlf|/m/02jjt|/m/04rlf|/m/02jjt
UC5j6W3OBHiGI_SmCaQhBgLg,Min Min,2009-05-13T10:17:45.000Z,VN,/m/04rlf|/m/04rlf|/m/064t9
UCTPKPY-ZsheAsp9XDIgsCSQ,sadsongs0nly,2019-03-28T02:27:07.000Z,US,/m/04rlf|/m/04rlf|/m/064t9|/m/05rwpb
